Type                                  Module                      Label             Process        Full Name
------------------------------------------------------------------------------------------------------------
GlobalObjectMapRecord                 "hltGtStage2ObjectMap"      ""                "HLT"          GlobalObjectMapRecord_hltGtStage2ObjectMap__HLT
edm::TriggerResults                   "TriggerResults"            ""                "HLT"          edmTriggerResults_TriggerResults__HLT
trigger::TriggerEvent                 "hltTriggerSummaryAOD"      ""                "HLT"          triggerTriggerEvent_hltTriggerSummaryAOD__HLT
BXVector<GlobalAlgBlk>                "gtStage2Digis"             ""                "RECO"         GlobalAlgBlkBXVector_gtStage2Digis__RECO
BXVector<GlobalExtBlk>                "gtStage2Digis"             ""                "RECO"         GlobalExtBlkBXVector_gtStage2Digis__RECO
BXVector<l1t::CaloTower>              "caloStage2Digis"           "CaloTower"       "RECO"         l1tCaloTowerBXVector_caloStage2Digis_CaloTower_RECO
BXVector<l1t::EGamma>                 "caloStage2Digis"           "EGamma"          "RECO"         l1tEGammaBXVector_caloStage2Digis_EGamma_RECO
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma"          "RECO"         l1tEGammaBXVector_gtStage2Digis_EGamma_RECO
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma2"         "RECO"         l1tEGammaBXVector_gtStage2Digis_EGamma2_RECO
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma3"         "RECO"         l1tEGammaBXVector_gtStage2Digis_EGamma3_RECO
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma4"         "RECO"         l1tEGammaBXVector_gtStage2Digis_EGamma4_RECO
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma5"         "RECO"         l1tEGammaBXVector_gtStage2Digis_EGamma5_RECO
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma6"         "RECO"         l1tEGammaBXVector_gtStage2Digis_EGamma6_RECO
BXVector<l1t::EGamma>                 "caloStage2Digis"           "MP"              "RECO"         l1tEGammaBXVector_caloStage2Digis_MP_RECO
BXVector<l1t::EtSum>                  "caloStage2Digis"           "EtSum"           "RECO"         l1tEtSumBXVector_caloStage2Digis_EtSum_RECO
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum"           "RECO"         l1tEtSumBXVector_gtStage2Digis_EtSum_RECO
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum2"          "RECO"         l1tEtSumBXVector_gtStage2Digis_EtSum2_RECO
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum3"          "RECO"         l1tEtSumBXVector_gtStage2Digis_EtSum3_RECO
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum4"          "RECO"         l1tEtSumBXVector_gtStage2Digis_EtSum4_RECO
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum5"          "RECO"         l1tEtSumBXVector_gtStage2Digis_EtSum5_RECO
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum6"          "RECO"         l1tEtSumBXVector_gtStage2Digis_EtSum6_RECO
BXVector<l1t::EtSum>                  "caloStage2Digis"           "MP"              "RECO"         l1tEtSumBXVector_caloStage2Digis_MP_RECO
BXVector<l1t::Jet>                    "caloStage2Digis"           "Jet"             "RECO"         l1tJetBXVector_caloStage2Digis_Jet_RECO
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet"             "RECO"         l1tJetBXVector_gtStage2Digis_Jet_RECO
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet2"            "RECO"         l1tJetBXVector_gtStage2Digis_Jet2_RECO
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet3"            "RECO"         l1tJetBXVector_gtStage2Digis_Jet3_RECO
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet4"            "RECO"         l1tJetBXVector_gtStage2Digis_Jet4_RECO
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet5"            "RECO"         l1tJetBXVector_gtStage2Digis_Jet5_RECO
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet6"            "RECO"         l1tJetBXVector_gtStage2Digis_Jet6_RECO
BXVector<l1t::Jet>                    "caloStage2Digis"           "MP"              "RECO"         l1tJetBXVector_caloStage2Digis_MP_RECO
BXVector<l1t::Muon>                   "gmtStage2Digis"            "Muon"            "RECO"         l1tMuonBXVector_gmtStage2Digis_Muon_RECO
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon"            "RECO"         l1tMuonBXVector_gtStage2Digis_Muon_RECO
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon2"           "RECO"         l1tMuonBXVector_gtStage2Digis_Muon2_RECO
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon3"           "RECO"         l1tMuonBXVector_gtStage2Digis_Muon3_RECO
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon4"           "RECO"         l1tMuonBXVector_gtStage2Digis_Muon4_RECO
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon5"           "RECO"         l1tMuonBXVector_gtStage2Digis_Muon5_RECO
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon6"           "RECO"         l1tMuonBXVector_gtStage2Digis_Muon6_RECO
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy1"       "RECO"         l1tMuonBXVector_gmtStage2Digis_MuonCopy1_RECO
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy2"       "RECO"         l1tMuonBXVector_gmtStage2Digis_MuonCopy2_RECO
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy3"       "RECO"         l1tMuonBXVector_gmtStage2Digis_MuonCopy3_RECO
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy4"       "RECO"         l1tMuonBXVector_gmtStage2Digis_MuonCopy4_RECO
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy5"       "RECO"         l1tMuonBXVector_gmtStage2Digis_MuonCopy5_RECO
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsBMTF"    "RECO"         l1tMuonBXVector_gmtStage2Digis_imdMuonsBMTF_RECO
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsEMTFNeg"   "RECO"         l1tMuonBXVector_gmtStage2Digis_imdMuonsEMTFNeg_RECO
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsEMTFPos"   "RECO"         l1tMuonBXVector_gmtStage2Digis_imdMuonsEMTFPos_RECO
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsOMTFNeg"   "RECO"         l1tMuonBXVector_gmtStage2Digis_imdMuonsOMTFNeg_RECO
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsOMTFPos"   "RECO"         l1tMuonBXVector_gmtStage2Digis_imdMuonsOMTFPos_RECO
