DEBUG 2024-10-16 03:09:40.699 UTC: 	 CRAB Client version: v3.240621
DEBUG 2024-10-16 03:09:40.699 UTC: 	 Running on: Linux lxplus923.cern.ch 5.14.0-427.35.1.el9_4.x86_64 #1 SMP PREEMPT_DYNAMIC Fri Aug 30 15:47:10 EDT 2024 x86_64 x86_64 x86_64 GNU/Linux - Red Hat Enterprise Linux 9.4 (Plow)
DEBUG 2024-10-16 03:09:40.700 UTC: 	 Executing command: 'resubmit'
DEBUG 2024-10-16 03:09:40.700 UTC: 	 Found CRAB cache file /afs/cern.ch/user/j/joshin/.crab3
DEBUG 2024-10-16 03:09:47.324 UTC: 	 CRAB Client version: v3.240621
DEBUG 2024-10-16 03:09:47.325 UTC: 	 Running on: Linux lxplus923.cern.ch 5.14.0-427.35.1.el9_4.x86_64 #1 SMP PREEMPT_DYNAMIC Fri Aug 30 15:47:10 EDT 2024 x86_64 x86_64 x86_64 GNU/Linux - Red Hat Enterprise Linux 9.4 (Plow)
DEBUG 2024-10-16 03:09:47.325 UTC: 	 Executing command: 'resubmit'
DEBUG 2024-10-16 03:09:47.325 UTC: 	 Found CRAB cache file /afs/cern.ch/user/j/joshin/.crab3
DEBUG 2024-10-17 00:47:32.389 UTC: 	 CRAB Client version: v3.240621
DEBUG 2024-10-17 00:47:32.389 UTC: 	 Running on: Linux lxplus933.cern.ch 5.14.0-427.31.1.el9_4.x86_64 #1 SMP PREEMPT_DYNAMIC Fri Aug 9 14:06:03 EDT 2024 x86_64 x86_64 x86_64 GNU/Linux - Red Hat Enterprise Linux 9.4 (Plow)
DEBUG 2024-10-17 00:47:32.389 UTC: 	 Executing command: 'resubmit'
DEBUG 2024-10-17 00:47:32.392 UTC: 	 Found CRAB cache file /afs/cern.ch/user/j/joshin/.crab3
