Wheel,Chamber_id,Sector,Issue
W-2,RB1out_B,S1,gas_disconnected
W-2,RB1out_F,S1,gas_disconnected
W-2,RB2out_B,S1,gas_disconnected
W-2,RB2out_M,S1,gas_disconnected
W-2,RB2out_F,S1,gas_disconnected
W-2,RB2in_B,S3,gas_disconnected
W-2,RB2in_F,S3,gas_disconnected
W-2,RB2out_M,S3,gas_disconnected
W-2,RB2out_B,S3,gas_disconnected
W-2,RB2out_F,S3,gas_disconnected
W-2,RB3+_B,S3,gas_disconnected
W-2,RB3+_F,S3,gas_disconnected
W-2,RB2in_B,S4,gas_disconnected
W-2,RB2in_F,S4,gas_disconnected
W-2,RB2out_M,S4,gas_disconnected
W-2,RB2out_B,S4,gas_disconnected
W-2,RB2out_F,S4,gas_disconnected
W-2,RB4--_B,S4,gas_disconnected
W-2,RB4--_F,S4,gas_disconnected
W-2,RB4-_B,S4,gas_disconnected
W-2,RB4-_F,S4,gas_disconnected
W-2,RB4+_B,S4,gas_disconnected
W-2,RB4+_F,S4,gas_disconnected
W-2,RB2in_B,S5,gas_disconnected
W-2,RB2in_F,S5,gas_disconnected
W-2,RB3-_B,S5,gas_disconnected
W-2,RB3-_F,S5,gas_disconnected
W-2,RB4-_B,S5,gas_disconnected
W-2,RB4-_F,S5,gas_disconnected
W-2,RB4+_B,S5,masked
W-2,RB4+_F,S5,masked
W-2,RB2in_B,S6,gas_disconnected
W-2,RB2in_F,S6,gas_disconnected
W-2,RB3+_B,S6,gas_disconnected
W-2,RB3+_F,S6,gas_disconnected
W-2,RB1in_B,S7,gas_disconnected
W-2,RB1in_F,S7,gas_disconnected
W-2,RB4-_B,S7,gas_disconnected
W-2,RB4-_F,S7,gas_disconnected
W-2,RB1out_B,S8,gas_disconnected
W-2,RB1out_F,S8,gas_disconnected
W-2,RB3+_B,S8,gas_disconnected
W-2,RB3+_F,S8,gas_disconnected
W-2,RB1out_B,S9,gas_disconnected
W-2,RB1out_F,S9,gas_disconnected
W-2,RB3-_B,S10,gas_disconnected
W-2,RB3-_F,S10,gas_disconnected
W-2,RB3+_B,S10,gas_disconnected
W-2,RB3+_F,S10,gas_disconnected
