+--------------------------------------------------------------------------------------------------------+--------+-------------+------------+----------+
| SCOPE:NAME                                                                                             | GUID   | ADLER32     | FILESIZE   | EVENTS   |
|--------------------------------------------------------------------------------------------------------+--------+-------------+------------+----------|
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/94abbcc6-6945-4372-8546-b8c08926953d.root   | (None) | ad:17167282 | 680.279 MB |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/001902b2-6a73-4dd6-b1bf-e93affec3dde.root   | (None) | ad:1c2a0682 | 3.848 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/02596935-d7f0-4f5a-920c-1f0d051cfa96.root   | (None) | ad:4fe9c28a | 3.130 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/02a45afb-c510-45b5-8629-56dbba2e79b1.root   | (None) | ad:1b83cda4 | 3.730 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/057cdb93-7f9e-486c-85b5-63079d099f19.root   | (None) | ad:8720b2ee | 2.932 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/05a568ac-75f5-4758-a8b9-242ff5cfc638.root   | (None) | ad:a299bd29 | 4.195 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/06b6e6a5-fbbd-4a8c-b7d2-1d62f3d09bf0.root   | (None) | ad:80ba9554 | 3.143 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/0715d482-dc73-40f7-85a7-60ce57b34da1.root   | (None) | ad:dff72fb6 | 3.854 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/07318bda-ec39-410c-a815-feb030e05a9b.root   | (None) | ad:60fdf0bd | 3.910 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/073216bd-ab90-404a-a86c-d63df4af0442.root   | (None) | ad:724b716b | 3.199 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/09e4530b-001b-4052-b926-39c19618b6ad.root   | (None) | ad:755e3368 | 3.788 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/0a5bc14f-45c1-49af-ac86-995fc48b9c58.root   | (None) | ad:0e303f46 | 2.853 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/0a691cd5-3b41-4142-981f-9b5f854704a7.root   | (None) | ad:f16a8b54 | 3.938 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/0ad79627-ad75-4228-bf8a-25ace922b40f.root   | (None) | ad:8e14344e | 2.386 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/0bdf532f-a1b1-4d85-80bd-64a2a90ceec2.root   | (None) | ad:c62caef3 | 3.912 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/0c702f66-44bb-41b0-90be-8e755f696131.root   | (None) | ad:c7335d92 | 2.884 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/0d90ac9a-5aa2-4df9-bee5-b06d187eda68.root   | (None) | ad:eb203346 | 2.972 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/0e425800-2984-42be-9cee-90f9cd09f3aa.root   | (None) | ad:3e641fb9 | 3.987 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/0e9511d3-403b-4a26-a6d3-c7e3c248a9d2.root   | (None) | ad:f7c978d9 | 4.031 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/0fe3f6fc-d590-4711-b232-8a06d51ca415.root   | (None) | ad:e93dc3b6 | 4.155 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/1263d9be-ea71-4f22-a4ec-731ece3c9e3e.root   | (None) | ad:288f141a | 3.762 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/126e62bd-2ac3-45ee-8ed0-7a4d74438ade.root   | (None) | ad:3829d114 | 3.560 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/1395afcb-7413-4331-b33f-d8605d435adc.root   | (None) | ad:f2518ac1 | 3.799 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/13e873d5-d94f-4fff-a95e-d0e6d65c8250.root   | (None) | ad:61088807 | 4.236 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/15a0613f-9257-4451-ac1e-b5683034f469.root   | (None) | ad:4af8b072 | 3.849 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/15e76de4-9606-4198-be5a-8eef6f884a0e.root   | (None) | ad:e8df9b3b | 3.965 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/1779826c-d046-4a80-9b87-7c3947173460.root   | (None) | ad:a1854494 | 4.242 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/17e38b8b-d911-4e84-a8d1-3689d754215f.root   | (None) | ad:75faed07 | 4.301 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/18e3c22b-242e-4081-87cb-fd073bb7fa49.root   | (None) | ad:bbe4d0bc | 4.006 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/197e7c56-ced1-4f26-9f2f-f252b90afee2.root   | (None) | ad:0849447a | 4.053 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/1abb0d5f-591b-4e08-9be6-52e2ac22aded.root   | (None) | ad:d87d10a2 | 2.759 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/1af4fb31-0ecc-4945-927d-d34816038c51.root   | (None) | ad:8acb466f | 4.190 GB   |          |
